"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"Hugo PET Bottle","hugo-pet-bottle","40","","Triangle-shaped PET bottle for your perfume, lotion and other beauty products.","draft","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","500","","","","","","","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Hugo-+-Ardent-600x600.jpg","simple","pet bottles","","","0","Aluminum Screw Cap|Aluminum Screw Pump (ASP)|Ardent Fliptop Cap|Gel Pump|Lotion Pump Flat|Mushroom Fliptop Cap|Mushroom Screw Cap|Pump Spray|Trigger Spray|Z Fliptop Cap","0|0|0","","1kg|3.75kg|30g","1|0|0","","","",""
"Oval PET Bottle","oval-pet-bottle","136","","Oval-shaped PET Bottle for your perfume, fragrances, lotion, compounds and other beauty products.","draft","0","2013-07-31 06:32:30","0","open","","no","no","visible","","instock","no","no","","","","","","","","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Oval-+-Lotion-Pump-Flat.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/20ml-Boston-+-AFC.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/20ml-Boston-+-Ardent.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/20ml-Boston-+-Ardent1.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Oval-+-Ardent-Clear.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/150ml-Boston-+-Aluminun-Screw-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/20ml-Boston-+-Ardent2.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Lotion-Pump-Flat.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Mushroom-Fliptop.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Mushroom-Screw.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Pump-Spray-Fancy.jpg|http://localhost/wordpress/wp-content/uploads/2013/08/50ml-Oval-+-Pump-Spray.jpg","variable","pet bottles","","","2","Aluminum Fake Cap (AFC)|Aluminum Screw Pump (ASP)|Ardent Fliptop Cap|Ball Fliptop Cap|Ball Screw Cap|Disc Cap|Fireman Spray|Gel Pump|Gel Pump Shroud|Lotion Pump Flat|Lotion Pump Twist|Mushroom Fliptop Cap|Mushroom Screw Cap|Pump Spray|Pump Spray Fancy|Pump Spray Shroud|Trigger Spray|Z Fliptop Cap","1|0|1","","","","","100ml|200ml|30ml|50ml","0|0|1",""
"Banana PET Bottle","banana-pet-bottle","148","","Banana-shaped PET bottles perfect for your perfumes, lotions and other compounds.","draft","0","2013-07-31 06:43:42","0","open","","no","no","visible","","instock","no","no","","","","","","","","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Ardent.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Aluminum-Screw-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Ardent1.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Disc-450x450.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Mushroom-Fliptop.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Pump-Spray-Fancy.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Oval-+-Lotion-Pump-Flat.jpg|http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-AFC.jpg","variable","pet bottles","","","0","Aluminum Fake Cap (AFC)|Aluminum Screw Pump (ASP)|Ardent Fliptop Cap|Ball Fliptop Cap|Disc Cap|Gel Pump|Gel Pump Shroud|Lotion Pump Flat|Mushroom Fliptop Cap|Mushroom Screw Cap|Mushroom Talc|Pump Spray|Pump Spray Fancy|Pump Spray Shroud|Push Pull Cap|Sephora Cap","4|1|1","","","","","100ml","3|1|1",""
"Boston PET Bottle","boston-pet-bottle","158","","100ml Boston PET bottle for perfume, lotion, and other beauty products.","draft","0","2013-07-03 10:38:46","0","open","","no","no","visible","","instock","no","no","","","","","","","","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-AFC2.jpg","variable","pet bottles","","","13","Aluminum Fake Cap (AFC)|Aluminum Screw Pump (ASP)|Ardent Fliptop Cap|Ball Fliptop Cap|Disc Cap|Gel Pump|Gel Pump Shroud|Lotion Pump Flat|Mandarin Cap|Mushroom Fliptop Cap|Mushroom Screw Cap|Pump Spray|Pump Spray Fancy|Pump Spray Shroud|Push Pull Cap|Sephora Cap|Z Fliptop Cap","3|1|1","","","","","100ml|150ml|200ml|20ml|250ml|300ml|400ml|500ml|50ml","2|1|1",""
"Dazzle","dazzle","25363","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Dazzle-+-Pump-Spray-Fancy.jpg","variable","glass bottles","","","","Pump Spray Fancy","1|1|1","","","","","30ml","0|1|1",""
"Amber Frosted","amber-frosted","25365","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/120-Amber-Frosted-+-Aluminum-Fake-Cap.jpg","variable","glass bottles","","","","Aluminum Fake Cap","1|1|1","","","","","120ml","0|1|1",""
"Hugo Frosted","hugo-frosted","25367","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","30ml|40ml","0|1|1",""
"Round Frosted","round-frosted","25381","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/100-Round-Frosted-+-Lotion-Pump-Flat-or-Twist.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/8-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/5-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Lotion Pump Flat or Twist|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","100ml|10ml|12ml|30ml|5ml|8ml","0|1|1",""
"Sexy Frosted","sexy-frosted","25400","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Pump-Spray-Shroud.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","","","","120ml|30ml|50ml","0|1|1",""
"Cobalt Blue","cobalt-blue","25421","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue-+-Metal-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Metal-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue-+-Metal-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue-+-Aluminum-Fake-Cap-+-Stopper.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Aluminum-Screw-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue-+-Lotion-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue-+-Pump-Spray.jpg","variable","glass bottles","","","","Aluminum Fake Cap|Aluminum Fake Cap-+-Stopper|Aluminum Screw Pump Spray|Gel Pump|Lotion Pump|Metal Cap|Pump Spray","1|1|1","","","","","10ml|120ml|30ml|60ml","0|1|1",""
